scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
anaphylaxis,alveolar_oxygen_reserve,respiration,0.45,lactate_peak,1.955,1.721,0.234
anaphylaxis,alveolar_oxygen_reserve,respiration,0.45,rescue_margin,0.866,0.942,-0.076
anaphylaxis,alveolar_oxygen_reserve,respiration,0.5917,spo2_nadir,90.792,96.1,-5.308
anaphylaxis,alveolar_oxygen_reserve,respiration,0.5917,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.5917,lactate_peak,1.813,1.721,0.092
anaphylaxis,alveolar_oxygen_reserve,respiration,0.5917,rescue_margin,0.912,0.942,-0.03
anaphylaxis,alveolar_oxygen_reserve,respiration,0.7333,spo2_nadir,92.633,96.1,-3.467
anaphylaxis,alveolar_oxygen_reserve,respiration,0.7333,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.7333,lactate_peak,1.721,1.721,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.7333,rescue_margin,0.942,0.942,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.875,spo2_nadir,94.475,96.1,-1.625
anaphylaxis,alveolar_oxygen_reserve,respiration,0.875,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.875,lactate_peak,1.721,1.721,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,0.875,rescue_margin,0.942,0.942,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.0167,spo2_nadir,96.317,96.1,0.217
anaphylaxis,alveolar_oxygen_reserve,respiration,1.0167,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.0167,lactate_peak,1.721,1.721,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.0167,rescue_margin,0.942,0.942,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.1583,spo2_nadir,98.158,96.1,2.058
anaphylaxis,alveolar_oxygen_reserve,respiration,1.1583,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.1583,lactate_peak,1.721,1.721,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.1583,rescue_margin,0.942,0.942,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.3,spo2_nadir,100.0,96.1,3.9
anaphylaxis,alveolar_oxygen_reserve,respiration,1.3,map_nadir,51.8,51.8,0.0
anaphylaxis,alveolar_oxygen_reserve,respiration,1.3,lactate_peak,1.721,1.721,0.0
